wavelength,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
653,9.11E-02,5.36E-04,2.43E-01,9.11E-02,0.00E+00,2.28E-01,9.11E-02,0.00E+00
654,8.63E-02,4.96E-04,2.31E-01,8.63E-02,0.00E+00,2.16E-01,8.60E-02,0.00E+00
655,8.16E-02,4.59E-04,2.19E-01,8.16E-02,0.00E+00,2.04E-01,8.12E-02,0.00E+00
656,7.71E-02,4.25E-04,2.07E-01,7.71E-02,0.00E+00,1.93E-01,7.66E-02,0.00E+00
657,7.28E-02,3.94E-04,1.96E-01,7.28E-02,0.00E+00,1.82E-01,7.22E-02,0.00E+00
658,6.87E-02,3.65E-04,1.85E-01,6.87E-02,0.00E+00,1.72E-01,6.80E-02,0.00E+00
659,6.48E-02,3.38E-04,1.75E-01,6.48E-02,0.00E+00,1.62E-01,6.41E-02,0.00E+00
660,6.10E-02,3.13E-04,1.65E-01,6.10E-02,0.00E+00,1.53E-01,6.03E-02,0.00E+00
661,5.74E-02,2.90E-04,1.55E-01,5.74E-02,0.00E+00,1.44E-01,5.67E-02,0.00E+00
662,5.40E-02,2.69E-04,1.46E-01,5.40E-02,0.00E+00,1.35E-01,5.33E-02,0.00E+00
663,5.07E-02,2.49E-04,1.37E-01,5.07E-02,0.00E+00,1.27E-01,5.01E-02,0.00E+00
664,4.75E-02,2.31E-04,1.29E-01,4.75E-02,0.00E+00,1.19E-01,4.70E-02,0.00E+00
665,4.46E-02,2.15E-04,1.21E-01,4.46E-02,0.00E+00,1.12E-01,4.41E-02,0.00E+00
666,4.18E-02,1.99E-04,1.14E-01,4.18E-02,0.00E+00,1.05E-01,4.13E-02,0.00E+00
667,3.91E-02,1.85E-04,1.06E-01,3.91E-02,0.00E+00,9.88E-02,3.88E-02,0.00E+00
668,3.66E-02,1.72E-04,9.97E-02,3.66E-02,0.00E+00,9.26E-02,3.63E-02,0.00E+00
669,3.42E-02,1.59E-04,9.33E-02,3.42E-02,0.00E+00,8.68E-02,3.40E-02,0.00E+00
670,3.20E-02,1.48E-04,8.74E-02,3.20E-02,0.00E+00,8.13E-02,3.18E-02,0.00E+00
671,3.00E-02,1.38E-04,8.19E-02,3.00E-02,0.00E+00,7.60E-02,2.97E-02,0.00E+00
672,2.81E-02,1.28E-04,7.68E-02,2.81E-02,0.00E+00,7.11E-02,2.78E-02,0.00E+00
673,2.63E-02,1.19E-04,7.21E-02,2.63E-02,0.00E+00,6.65E-02,2.60E-02,0.00E+00
674,2.47E-02,1.10E-04,6.77E-02,2.47E-02,0.00E+00,6.21E-02,2.42E-02,0.00E+00
675,2.32E-02,1.03E-04,6.36E-02,2.32E-02,0.00E+00,5.79E-02,2.26E-02,0.00E+00
676,2.18E-02,9.54E-05,5.98E-02,2.18E-02,0.00E+00,5.41E-02,2.11E-02,0.00E+00
677,2.05E-02,8.88E-05,5.63E-02,2.05E-02,0.00E+00,5.04E-02,1.97E-02,0.00E+00
678,1.93E-02,8.26E-05,5.30E-02,1.93E-02,0.00E+00,4.70E-02,1.83E-02,0.00E+00
679,1.81E-02,7.69E-05,4.98E-02,1.81E-02,0.00E+00,4.38E-02,1.71E-02,0.00E+00
680,1.70E-02,7.15E-05,4.68E-02,1.70E-02,0.00E+00,4.09E-02,1.59E-02,0.00E+00
681,1.59E-02,6.66E-05,4.38E-02,1.59E-02,0.00E+00,3.81E-02,1.48E-02,0.00E+00
682,1.48E-02,6.20E-05,4.09E-02,1.48E-02,0.00E+00,3.55E-02,1.38E-02,0.00E+00
683,1.38E-02,5.78E-05,3.81E-02,1.38E-02,0.00E+00,3.30E-02,1.28E-02,0.00E+00
684,1.28E-02,5.38E-05,3.54E-02,1.28E-02,0.00E+00,3.08E-02,1.20E-02,0.00E+00
685,1.19E-02,5.01E-05,3.29E-02,1.19E-02,0.00E+00,2.86E-02,1.11E-02,0.00E+00
686,1.11E-02,4.67E-05,3.06E-02,1.11E-02,0.00E+00,2.66E-02,1.04E-02,0.00E+00
687,1.03E-02,4.36E-05,2.84E-02,1.03E-02,0.00E+00,2.48E-02,9.63E-03,0.00E+00
688,9.53E-03,4.06E-05,2.63E-02,9.53E-03,0.00E+00,2.31E-02,8.96E-03,0.00E+00
689,8.85E-03,3.79E-05,2.45E-02,8.85E-03,0.00E+00,2.14E-02,8.33E-03,0.00E+00
690,8.21E-03,3.53E-05,2.27E-02,8.21E-03,0.00E+00,1.99E-02,7.75E-03,0.00E+00
691,7.62E-03,3.30E-05,2.11E-02,7.62E-03,0.00E+00,1.85E-02,7.20E-03,0.00E+00
692,7.09E-03,3.08E-05,1.96E-02,7.09E-03,0.00E+00,1.72E-02,6.70E-03,0.00E+00
693,6.59E-03,2.87E-05,1.82E-02,6.59E-03,0.00E+00,1.60E-02,6.23E-03,0.00E+00
694,6.14E-03,2.68E-05,1.70E-02,6.14E-03,0.00E+00,1.49E-02,5.79E-03,0.00E+00
695,5.72E-03,2.50E-05,1.58E-02,5.72E-03,0.00E+00,1.38E-02,5.38E-03,0.00E+00
696,5.34E-03,2.34E-05,1.48E-02,5.34E-03,0.00E+00,1.29E-02,4.99E-03,0.00E+00
697,5.00E-03,2.18E-05,1.38E-02,5.00E-03,0.00E+00,1.19E-02,4.64E-03,0.00E+00
698,4.68E-03,2.04E-05,1.29E-02,4.68E-03,0.00E+00,1.11E-02,4.31E-03,0.00E+00
