nm,Standard Illuminant A,Standard Illuminant D65,Illuminant C,IlluminantD50,IlluminantD55,IlluminantD75,FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8,FL9,FL10,FL11*,FL12,HP1,HP2,HP3,HP4,HP5
680,185.429,78.2842,84,99.133,89.956,71.576,1.93,1.89,1.99,2.24,1.71,1.6,5.83,9.22,8.25,1.47,1.46,1.49,13.69,102.85,35.16,32.57,47.46
685,188.701,74.0027,82.21,93.257,84.817,67.714,1.72,1.64,1.7,1.91,1.52,1.37,5.41,8.62,7.57,1.79,1.94,2.14,9.99,90.54,34.94,39.26,61.78
690,191.931,69.7213,80.2,87.381,79.677,63.852,1.67,1.53,1.55,1.7,1.48,1.29,5.04,8.07,7.03,1.74,2,2.34,8.19,83.34,24.68,23.27,34.51
695,195.118,70.6652,78.24,89.492,81.258,64.464,1.43,1.27,1.27,1.39,1.26,1.05,4.57,7.39,6.35,1.02,1.2,1.42,7.59,79.44,24.7,25.3,38.74
700,198.261,71.6091,76.3,91.604,82.84,65.076,1.29,1.1,1.09,1.18,1.13,0.91,4.12,6.71,5.72,1.14,1.35,1.61,6.99,76.97,21.49,20.02,30.98
705,201.359,72.979,74.36,92.246,83.842,66.573,1.19,0.99,0.96,1.03,1.05,0.81,3.77,6.16,5.25,3.32,4.1,5.04,6.79,74.85,19.49,17.54,25.45
710,204.409,74.349,72.4,92.889,84.844,68.07,1.08,0.88,0.83,0.88,0.96,0.71,3.46,5.63,4.8,4.49,5.58,6.98,6.49,73.12,18.48,16.25,22.88
715,207.411,67.9765,70.4,84.872,77.539,62.256,0.96,0.76,0.71,0.74,0.85,0.61,3.08,5.03,4.29,2.05,2.51,3.19,6.39,71.51,17.55,15.2,20.82
720,210.365,61.604,68.3,76.854,70.235,56.443,0.88,0.68,0.62,0.64,0.78,0.54,2.73,4.46,3.8,0.49,0.57,0.71,6.09,70.13,17.36,15.15,21.05
725,213.268,65.7448,66.3,81.683,74.768,60.343,0.81,0.61,0.54,0.54,0.72,0.48,2.47,4.02,3.43,0.24,0.27,0.3,5.99,69.04,17.09,15.22,20.81
730,216.12,69.8856,64.4,86.511,79.301,64.242,0.77,0.56,0.49,0.49,0.68,0.44,2.25,3.66,3.12,0.21,0.23,0.26,5.79,67.48,16.32,14.26,18.69
735,218.92,72.4863,62.8,89.546,82.147,66.697,0.75,0.54,0.46,0.46,0.67,0.43,2.06,3.36,2.86,0.21,0.21,0.23,5.79,66.7,16.07,12.63,17.54
740,221.667,75.087,61.5,92.58,84.993,69.151,0.73,0.51,0.43,0.42,0.65,0.4,1.9,3.09,2.64,0.24,0.24,0.28,5.79,66.31,16.58,14.75,19.58
745,224.361,69.3398,60.2,85.405,78.437,63.89,0.68,0.47,0.39,0.37,0.61,0.37,1.75,2.85,2.43,0.24,0.24,0.28,5.79,65.14,15.78,13.19,16.42
750,227,63.5927,59.2,78.23,71.88,58.629,0.69,0.47,0.39,0.37,0.62,0.38,1.62,2.65,2.26,0.21,0.2,0.21,6.39,65.7,17.66,17.63,23.77
755,229.585,55.0054,58.5,67.961,62.337,50.623,0.64,0.43,0.35,0.33,0.59,0.35,1.54,2.51,2.14,0.17,0.24,0.17,5.99,64.79,20.46,23.38,35.39
760,232.115,46.4182,58.1,57.692,52.793,42.617,0.68,0.46,0.38,0.35,0.62,0.39,1.45,2.37,2.02,0.21,0.32,0.21,5.59,64.1,16.59,16.02,21.37
765,234.589,56.6118,58,70.307,64.36,51.985,0.69,0.47,0.39,0.36,0.64,0.41,1.32,2.15,1.83,0.22,0.26,0.19,31.97,83.04,17.81,24.46,34.58
770,237.008,66.8054,58.2,82.923,75.927,61.352,0.61,0.4,0.33,0.31,0.55,0.33,1.17,1.89,1.61,0.17,0.16,0.15,27.87,86.25,16.07,22.05,30.21
775,239.37,65.0941,58.5,80.599,73.872,59.838,0.52,0.33,0.28,0.26,0.47,0.26,0.99,1.61,1.38,0.12,0.12,0.1,5.89,63.93,14.83,16.11,19.71
780,241.675,63.3828,59.1,78.274,71.818,58.324,0.43,0.27,0.21,0.19,0.4,0.21,0.81,1.32,1.12,0.09,0.09,0.05,6.69,64.92,14.61,12.91,15.61
