nm,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
505,0.40730000000000000000,0.99800000000000000000,0.002400000000,0.407300000000,0.212300000000,0.01544400000000000000,0.53136000000000000000,0.15924900000000000000
506,0.42562990000000000000,1.00000000000000000000,0.002925520000,0.425629900000,0.201169200000,0.01915600000000000000,0.54619000000000000000,0.14867300000000000000
507,0.44430960000000000000,1.00000000000000000000,0.003836560000,0.444309600000,0.190119600000,0.02325000000000000000,0.56118000000000000000,0.13860900000000000000
508,0.46339440000000000000,1.00000000000000000000,0.005174840000,0.463394400000,0.179225400000,0.02769000000000000000,0.57629000000000000000,0.12909600000000000000
509,0.48293950000000000000,0.99800000000000000000,0.006982080000,0.482939500000,0.168560800000,0.03244400000000000000,0.59150000000000000000,0.12021500000000000000
510,0.50300000000000000000,0.99700000000000000000,0.009300000000,0.503000000000,0.158200000000,0.03746500000000000000,0.60674100000000000000,0.11204400000000000000
511,0.52356930000000000000,0.99400000000000000000,0.012149490000,0.523569300000,0.148138300000,0.04295600000000000000,0.62215000000000000000,0.10471000000000000000
512,0.54451200000000000000,0.99000000000000000000,0.015535880000,0.544512000000,0.138375800000,0.04911400000000000000,0.63783000000000000000,0.09819600000000000000
513,0.56569000000000000000,0.98600000000000000000,0.019477520000,0.565690000000,0.128994200000,0.05592000000000000000,0.65371000000000000000,0.09236100000000000000
514,0.58696530000000000000,0.98100000000000000000,0.023992770000,0.586965300000,0.120075100000,0.06334900000000000000,0.66968000000000000000,0.08708800000000000000
515,0.60820000000000000000,0.97500000000000000000,0.029100000000,0.608200000000,0.111700000000,0.07135800000000000000,0.68566000000000000000,0.08224800000000000000
516,0.62934560000000000000,0.96800000000000000000,0.034814850000,0.629345600000,0.103904800000,0.07990100000000000000,0.70155000000000000000,0.07774400000000000000
517,0.65030680000000000000,0.96100000000000000000,0.041120160000,0.650306800000,0.096667480000,0.08890900000000000000,0.71723000000000000000,0.07345600000000000000
518,0.67087520000000000000,0.95300000000000000000,0.047985040000,0.670875200000,0.089982720000,0.09829300000000000000,0.73257000000000000000,0.06926800000000000000
519,0.69084240000000000000,0.94400000000000000000,0.055378610000,0.690842400000,0.083845310000,0.10794900000000000000,0.74746000000000000000,0.06506000000000000000
520,0.71000000000000000000,0.93500000000000000000,0.063270000000,0.710000000000,0.078249990000,0.11774900000000000000,0.76175700000000000000,0.06070900000000000000
