nm,S-cone-opic,M-cone-opic,L-cone-opic,rhodopic,melanopic
516,2.49E-02,8.32E-01,6.15E-01,9.68E-01,7.69E-01
517,2.29E-02,8.47E-01,6.31E-01,9.61E-01,7.52E-01
518,2.10E-02,8.62E-01,6.46E-01,9.53E-01,7.35E-01
519,1.92E-02,8.76E-01,6.61E-01,9.44E-01,7.17E-01
520,1.76E-02,8.89E-01,6.75E-01,9.35E-01,7.00E-01
521,1.62E-02,9.01E-01,6.89E-01,9.25E-01,6.82E-01
522,1.48E-02,9.11E-01,7.02E-01,9.15E-01,6.64E-01
523,1.35E-02,9.20E-01,7.14E-01,9.04E-01,6.46E-01
524,1.24E-02,9.28E-01,7.26E-01,8.92E-01,6.28E-01
525,1.13E-02,9.35E-01,7.37E-01,8.80E-01,6.09E-01
526,1.03E-02,9.41E-01,7.48E-01,8.67E-01,5.91E-01
527,9.44E-03,9.47E-01,7.59E-01,8.54E-01,5.73E-01
528,8.61E-03,9.53E-01,7.69E-01,8.40E-01,5.55E-01
529,7.86E-03,9.57E-01,7.79E-01,8.26E-01,5.37E-01
530,7.17E-03,9.62E-01,7.89E-01,8.11E-01,5.19E-01
531,6.55E-03,9.66E-01,7.98E-01,7.96E-01,5.02E-01
532,5.98E-03,9.70E-01,8.08E-01,7.81E-01,4.84E-01
533,5.46E-03,9.74E-01,8.17E-01,7.65E-01,4.67E-01
534,4.98E-03,9.78E-01,8.27E-01,7.49E-01,4.49E-01
535,4.54E-03,9.81E-01,8.37E-01,7.33E-01,4.33E-01
536,4.14E-03,9.86E-01,8.48E-01,7.17E-01,4.16E-01
537,3.77E-03,9.90E-01,8.59E-01,7.00E-01,3.99E-01
538,3.43E-03,9.94E-01,8.70E-01,6.83E-01,3.83E-01
539,3.12E-03,9.97E-01,8.81E-01,6.67E-01,3.67E-01
540,2.83E-03,9.99E-01,8.91E-01,6.50E-01,3.52E-01
541,2.58E-03,1.00E+00,9.00E-01,6.33E-01,3.37E-01
542,2.34E-03,1.00E+00,9.08E-01,6.16E-01,3.22E-01
543,2.13E-03,9.98E-01,9.15E-01,5.99E-01,3.07E-01
544,1.93E-03,9.95E-01,9.22E-01,5.81E-01,2.93E-01
545,1.76E-03,9.91E-01,9.27E-01,5.64E-01,2.79E-01
546,1.59E-03,9.86E-01,9.31E-01,5.48E-01,2.66E-01
547,1.45E-03,9.80E-01,9.34E-01,5.31E-01,2.53E-01
548,1.31E-03,9.74E-01,9.37E-01,5.14E-01,2.40E-01
549,1.19E-03,9.68E-01,9.41E-01,4.97E-01,2.28E-01
550,1.08E-03,9.62E-01,9.45E-01,4.81E-01,2.16E-01
551,9.82E-04,9.57E-01,9.49E-01,4.65E-01,2.04E-01
552,8.91E-04,9.52E-01,9.55E-01,4.48E-01,1.93E-01
553,8.08E-04,9.47E-01,9.60E-01,4.33E-01,1.82E-01
554,7.33E-04,9.42E-01,9.66E-01,4.17E-01,1.72E-01
555,6.65E-04,9.36E-01,9.71E-01,4.02E-01,1.62E-01
556,6.03E-04,9.28E-01,9.75E-01,3.86E-01,1.53E-01
557,5.47E-04,9.20E-01,9.78E-01,3.72E-01,1.43E-01
558,4.96E-04,9.10E-01,9.81E-01,3.57E-01,1.35E-01
559,4.51E-04,9.01E-01,9.83E-01,3.43E-01,1.26E-01
560,4.09E-04,8.91E-01,9.86E-01,3.29E-01,1.19E-01
561,3.71E-04,8.81E-01,9.88E-01,3.15E-01,1.11E-01
562,3.37E-04,8.72E-01,9.91E-01,3.02E-01,1.04E-01
563,3.06E-04,8.62E-01,9.93E-01,2.89E-01,9.69E-02
564,2.78E-04,8.52E-01,9.95E-01,2.76E-01,9.04E-02
565,2.52E-04,8.41E-01,9.97E-01,2.64E-01,8.43E-02
566,2.29E-04,8.29E-01,9.98E-01,2.52E-01,7.86E-02
567,2.08E-04,8.17E-01,9.99E-01,2.40E-01,7.32E-02
568,1.89E-04,8.04E-01,1.00E+00,2.29E-01,6.80E-02
569,1.71E-04,7.90E-01,1.00E+00,2.18E-01,6.32E-02
570,1.56E-04,7.77E-01,1.00E+00,2.08E-01,5.87E-02
571,1.41E-04,7.62E-01,9.99E-01,1.97E-01,5.45E-02
572,1.29E-04,7.48E-01,9.97E-01,1.88E-01,5.05E-02
573,1.17E-04,7.32E-01,9.95E-01,1.78E-01,4.67E-02
574,1.06E-04,7.17E-01,9.91E-01,1.69E-01,4.32E-02
575,9.67E-05,7.00E-01,9.87E-01,1.60E-01,4.00E-02
576,8.80E-05,6.83E-01,9.82E-01,1.52E-01,3.70E-02
577,8.01E-05,6.65E-01,9.75E-01,1.44E-01,3.42E-02
